prefecture,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21
tokyo,436,449,527,593,690,779,897,1040,1123,1203,1347,1528,1717,1914,2080,2171,2332,2457,2606,2807,2988,3095,3197
osaka,209,217,245,279,312,347,388,409,429,482,525,589,697,767,812,836,895,969,1021,1076,1164,1212,1297
aichi,167,170,176,181,186,193,211,227,237,258,278,299,313,340,319,328,338,350,364,374,391,401,406
chiba,160,160,164,175,181,192,219,238,253,284,317,342,375,411,455,474,490,525,539,574,608,661,683
hokkaido,176,177,177,182,185,190,193,194,194,198,208,226,239,255,267,272,279,302,336,370,408,434,451
kanagawa,107,115,120,138,153,182,198,226,261,279,327,375,425,465,478,572,594,614,673,707,707,784,802
hyogo,132,136,147,161,167,172,182,195,201,216,216,273,316,358,375,384,403,423,453,475,496,513,524
saitama,83,84,98,101,113,131,153,174,195,209,242,271,325,345,386,414,433,479,535,569,604,642,662
kyoto,46,54,68,71,79,91,102,111,119,139,149,159,168,181,193,205,210,215,225,235,242,251,259
fukuoka,22,23,43,52,62,70,71,109,113,136,161,187,224,332,362,373,403,433,459,477,501,516,524
quarantinedAtAirport,31,51,56,60,61,65,65,70,74,74,86,86,88,117,117,121,121,125,125,126,127,128,130
fukui,13,15,16,22,31,40,44,51,57,57,67,72,76,86,88,92,92,100,103,104,106,112,113
gifu,21,21,22,22,22,39,43,50,51,51,69,76,82,91,105,112,127,128,132,136,137,139,139
niigata,31,31,31,31,31,32,32,32,32,34,37,39,41,41,42,42,45,46,47,53,56,56,56
oita,28,28,29,29,30,30,30,31,32,32,41,41,42,42,42,43,43,50,50,50,50,54,55
ibaraki,16,20,24,24,26,26,31,64,71,77,77,81,82,91,109,110,116,119,123,131,135,139,143
gunma,18,18,19,20,20,24,25,26,26,29,29,33,35,79,90,91,97,107,109,111,117,122,124
ishikawa,9,11,13,15,16,24,32,43,45,51,66,72,92,104,113,121,131,140,146,160,173,178,180
kochi,14,15,17,20,21,21,24,31,34,36,37,47,52,54,60,60,60,62,62,63,64,68,69
wakayama,17,17,17,18,20,21,21,25,27,28,29,32,33,33,34,34,35,37,38,39,40,46,46
nara,11,11,11,15,19,21,24,25,26,28,30,34,37,39,41,44,47,53,54,56,60,62,64
charteredFlight,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
kumamoto,10,11,14,15,15,15,16,20,20,21,23,23,23,23,28,28,29,31,31,33,33,39,40
tochigi,12,12,14,14,14,14,14,14,14,15,21,31,31,32,35,36,38,39,42,44,44,46,49
shiga,6,6,7,8,8,14,17,18,18,18,24,26,34,38,38,40,51,52,57,68,70,71,72
miyagi,2,6,7,7,12,13,20,23,26,27,34,36,37,46,52,54,64,65,75,79,83,83,84
mie,9,11,11,11,12,12,12,13,13,13,13,15,15,17,17,17,19,20,26,32,35,36,39
ehime,4,4,9,9,11,11,12,12,14,23,25,26,28,30,30,37,39,40,41,41,44,45,46
nagano,8,8,8,9,9,10,11,12,14,14,19,21,28,28,29,34,35,36,45,47,47,52,52
aomori,7,7,8,8,9,10,10,11,11,11,12,14,14,22,22,22,22,22,22,22,22,22,22
okinawa,8,9,9,9,9,9,9,9,15,27,32,42,49,49,66,72,76,86,86,93,93,110,121
yamanashi,4,5,6,8,9,9,11,13,14,19,22,24,27,32,35,35,36,39,43,46,46,49,49
fukushima,2,2,4,6,8,9,14,16,16,24,29,33,36,37,38,38,39,40,49,52,60,62,64
akita,4,4,6,6,7,9,10,11,11,11,11,11,12,13,15,15,16,16,16,16,16,16,16
okayama,3,4,4,4,7,9,10,11,11,12,15,16,16,16,16,16,16,16,18,19,19,19,19
toyama,0,1,3,5,8,8,10,10,11,12,14,16,23,23,30,49,54,54,65,69,59,92,114
hiroshima,6,6,6,6,6,8,13,16,16,19,23,25,25,31,56,57,66,67,118,124,129,132,137
shizuoka,4,4,6,6,6,8,10,10,10,10,15,16,34,39,41,46,46,47,48,50,50,52,52
yamaguchi,6,6,6,6,6,7,7,8,12,13,17,17,17,19,23,24,25,28,29,30,30,30,30
nagasaki,2,2,2,5,5,7,8,9,9,9,12,14,14,14,14,14,14,15,16,17,17,17,18
saga,1,1,2,4,4,5,6,8,8,9,11,11,12,12,13,13,15,17,15,16,16,17,17
miyazaki,3,3,3,5,3,4,4,6,7,7,12,16,16,17,17,17,17,17,17,17,17,17,17
tokushima,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
kagoshima,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,7,8,10
kagawa,1,1,2,2,2,2,2,2,2,2,3,3,4,4,8,16,20,20,21,23,23,25,26
yamagata,0,0,1,1,1,1,6,10,13,19,22,27,27,32,34,35,39,45,50,54,56,61,64
iwate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tottori,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3
shimane,0,0,0,0,0,0,0,0,0,0,0,1,2,6,7,8,10,13,14,15,15,16,16